Date_dec,Model,Prompter,Equities,Inflation,Labor,Consumer,Guidance
11,Gemini 3 Pro,R1,2,-1,-2,2,2
11,GPT 5.1,R1,4,1,-1,-2,3
11,Claude Opus 4.5,R1,2,-1,-1,-2,0
11,Gemini 3 Pro,R2,1,1,-2,-2,3
11,GPT 5.1,R2,3,1,-2,1,1
11,Claude Opus 4.5,R2,2,-1,3,1,-2
11,Gemini 3 Pro,R3,4,4,-3,0,5
11,GPT 5.1,R3,3,1,-1,2,2
11,Claude Opus 4.5,R3,2,-1,-1,-1,0
12,Gemini 3 Pro,R1,-1,2,-3,-3,4
12,GPT 5.1,R1,1,1,-2,-1,1
12,Claude Opus 4.5,R1,1,-1,-1,-2,1
12,Gemini 3 Pro,R2,-1,-1,-3,-2,-1
12,GPT 5.1,R2,1,-2,-1,-1,-1
12,Claude Opus 4.5,R2,2,-2,-1,-2,1
12,Gemini 3 Pro,R3,-2,-3,-3,-4,-1
12,GPT 5.1,R3,-2,-1,-1,0,1
12,Claude Opus 4.5,R3,1,-1,-1,-2,1
15,Gemini 3 Pro,R1,-3,-2,-4,-3,-1
15,GPT 5.1,R1,1,1,-1,-2,1
15,Claude Opus 4.5,R1,1,-2,-2,-2,0
15,Gemini 3 Pro,R2,-2,-2,-2,-3,-1
15,GPT 5.1,R2,-2,0,-2,-1,0
15,Claude Opus 4.5,R2,-2,-1,-2,0,-1
15,Gemini 3 Pro,R3,-2,3,-2,0,1
15,GPT 5.1,R3,-1,-1,-1,-1,1
15,Claude Opus 4.5,R3,-1,-1,-2,-2,0
16,Gemini 3 Pro,R1,-2,-2,-3,-1,-1
16,GPT 5.1,R1,-1,1,-2,-1,-1
16,Claude Opus 4.5,R1,-1,-1,-2,-1,0
16,Gemini 3 Pro,R2,-2,-2,-3,-1,-2
16,GPT 5.1,R2,-1,-2,-1,0,-1
16,Claude Opus 4.5,R2,-1,-2,-2,-2,0
16,Gemini 3 Pro,R3,-2,-1,-3,-2,2
16,GPT 5.1,R3,-1,2,-1,-1,0

16,Claude Opus 4.5,R3,-1,-2,-2,-2,-2
